# Design, UX and architecture studios, by their own website (2026-09-25).
# "Name | domain". studio-resolve.mjs goes to the site, finds the careers page
# and reads the hiring system it links to. Already-fleet domains are skipped.

# ── US architecture: large and mid-size ──
Gensler | gensler.com
Perkins&Will | perkinswill.com
HOK | hok.com
Skidmore Owings & Merrill | som.com
HDR | hdrinc.com
Stantec | stantec.com
Populous | populous.com
Perkins Eastman | perkinseastman.com
NBBJ | nbbj.com
ZGF Architects | zgf.com
CannonDesign | cannondesign.com
HGA | hga.com
Corgan | corgan.com
Page | pagethink.com
Ennead Architects | ennead.com
Diller Scofidio + Renfro | dsrny.com
SHoP Architects | shoparc.com
Morphosis | morphosis.com
Olson Kundig | olsonkundig.com
Bohlin Cywinski Jackson | bcj.com
Cooper Robertson | cooperrobertson.com
Beyer Blinder Belle | beyerblinderbelle.com
Robert A.M. Stern Architects | ramsa.com
Pelli Clarke & Partners | pcparch.com
Handel Architects | handelarchitects.com
FXCollaborative | fxcollaborative.com
Dattner Architects | dattner.com
WXY | wxystudio.com
Steven Holl Architects | stevenholl.com
Safdie Architects | safdiearchitects.com
Thornton Tomasetti | thorntontomasetti.com
Buro Happold | burohappold.com
Walter P Moore | walterpmoore.com
Magnusson Klemencic Associates | mka.com
CallisonRTKL | callisonrtkl.com
LPA Design Studios | lpadesignstudios.com
DLR Group | dlrgroup.com
Cuningham | cuningham.com
Ayers Saint Gross | asg-architects.com
Ballinger | ballinger-ae.com
SmithGroup | smithgroup.com
Little | littleonline.com
Gresham Smith | greshamsmith.com
LS3P | ls3p.com
Clark Nexsen | clarknexsen.com
Moody Nolan | moodynolan.com
Rockwell Group | rockwellgroup.com
Yabu Pushelberg | yabupushelberg.com
AvroKO | avroko.com
Meyer Davis | meyerdavis.com
ICRAVE | icrave.com
Mithun | mithun.com
Lake|Flato | lakeflato.com
Marlon Blackwell Architects | marlonblackwell.com
Brooks + Scarpa | brooksscarpa.com
Michael Maltzan Architecture | mmaltzan.com
Johnston Marklee | johnstonmarklee.com
WORKac | work.ac
MOS Architects | mos.nyc
SO-IL | so-il.org
nARCHITECTS | narchitects.com
LEVENBETTS | levenbetts.com
Leong Leong | leong-leong.com
Höweler + Yoon | howeleryoon.com
Merge Architects | mergearchitects.com
NADAAA | nadaaa.com
Payette | payette.com
Elkus Manfredi | elkus-manfredi.com
CBT Architects | cbtarchitects.com
Shepley Bulfinch | shepleybulfinch.com
Bruner/Cott | brunercott.com
Bergmeyer | bergmeyer.com
Arrowstreet | arrowstreet.com
Perry Dean Rogers | perrydean.com
William Rawn Associates | rawnarch.com
Leers Weinzapfel | lwa-architects.com
Machado Silvetti | machado-silvetti.com
Utile | utiledesign.com
