row,occupation_label,indent_spaces,unemployment_rate,unemployed_thousands,labor_force_thousands
6,"Total, 16 years and over(1)",0,4.3,7314,170807
7,"Management, professional, and related occupations",0,2.5,1811,73149
8,"Management, business, and financial operations occupations",0,2.3,729,31778
9,Management occupations,0,2.1,442,21318
10,Chief executives,0,1,19,1821
11,General and operations managers,0,1.9,27,1406
12,Legislators,0,–,1,19
13,Advertising and promotions managers,0,2.6,2,63
14,Marketing managers,0,3.3,23,692
15,Sales managers,0,3.4,20,583
16,Public relations and fundraising managers,0,3.9,6,146
17,Administrative services managers,0,1.1,1,114
18,Facilities managers,0,1.2,2,130
19,Computer and information systems managers,0,2.9,19,666
20,Financial managers,0,2,28,1460
21,Compensation and benefits managers,0,–,2,18
22,Human resources managers,0,3.9,13,327
23,Training and development managers,0,3,2,71
24,Industrial production managers,0,2.2,8,353
25,Purchasing managers,0,4.5,10,232
26,"Transportation, storage, and distribution managers",0,0.6,3,418
27,"Farmers, ranchers, and other agricultural managers",0,1.2,9,820
28,Construction managers,0,1.8,21,1220
29,Education and childcare administrators,0,1.6,17,1070
30,Architectural and engineering managers,0,2.1,4,201
31,Food service managers,0,2.7,33,1192
32,Funeral home managers,0,–,0,10
33,Entertainment and recreation managers,0,2.9,2,67
34,Lodging managers,0,4.3,5,123
35,Medical and health services managers,0,1.7,15,920
36,Natural sciences managers,0,–,0,44
37,Postmasters and mail superintendents,0,–,0,42
38,"Property, real estate, and community association managers",0,2.7,22,812
39,Social and community service managers,0,3.5,17,489
40,Emergency management directors,0,–,0,27
41,"Personal service managers, all other",0,1.5,3,186
42,"Managers, all other",0,1.9,107,5579
43,Business and financial operations occupations,0,2.7,287,10460
44,"Agents and business managers of artists, performers, and athletes",0,4.7,3,62
45,"Buyers and purchasing agents, farm products",0,–,0,10
46,"Wholesale and retail buyers, except farm products",0,5,9,189
47,"Purchasing agents, except wholesale, retail, and farm products",0,2.1,6,303
48,"Claims adjusters, appraisers, examiners, and investigators",0,2.4,10,399
49,Compliance officers,0,1.5,5,317
50,Cost estimators,0,1.7,2,149
51,Human resources workers,0,3.6,33,931
52,"Compensation, benefits, and job analysis specialists",0,0.8,0,61
53,Training and development specialists,0,4.1,9,219
54,Logisticians,0,1.9,4,213
55,Project management specialists,0,3.1,37,1187
56,Management analysts,0,3.6,40,1125
57,"Meeting, convention, and event planners",0,3.2,7,207
58,Fundraisers,0,4.1,3,82
59,Market research analysts and marketing specialists,0,3.8,21,564
60,"Business operations specialists, all other",0,3.8,23,618
61,Accountants and auditors,0,2,35,1801
62,Property appraisers and assessors,0,2.3,2,71
63,Budget analysts,0,0,0,67
64,Credit analysts,0,–,0,36
65,Financial and investment analysts,0,1.7,7,429
66,Personal financial advisors,0,2.2,13,589
67,Insurance underwriters,0,0.4,1,142
68,Financial examiners,0,–,0,20
69,Credit counselors and loan officers,0,0.6,2,355
70,"Tax examiners and collectors, and revenue agents",0,4.9,3,55
